bblid,scanid,restExclude,restExcludeVoxelwise,restNoDataExclude,restRelMeanRMSMotion,restRelMeanRMSMotionExclude,restNSpikesMotion,restNSpikesMotionExclude,restNormCrossCorr,restNormCoverage,restCoregCrossCorr,restCoregCoverage,restVoxelwiseCoverageExclude,restRpsMapCorrectionNotApplied
122910,6965,0,0,0,0.0476346,0,0,0,0.9078859,0.9703305118,0.89035091,0.9750894179,0,0
87905,6966,0,0,0,0.0413908,0,0,0,0.90043897,0.987010294,0.87529351,0.989731451,0,0
97383,6967,1,1,0,0.190173,0,24,1,0.90608023,0.970389,0.88892063,0.9787373096,0,0
87135,6968,0,0,0,0.0418678,0,0,0,0.91815692,0.9810657621,0.8943517,0.9849758851,0,0
100278,6977,1,1,1,0.196003,0,10,0,NA,NA,0.89326633,0.9875367928,NA,0
97975,6978,1,1,0,0.211178,1,28,1,0.90289002,0.9744831767,0.87865394,0.9805811819,0,0
108202,6979,1,1,0,0.205177,1,19,0,0.91389833,0.9876430304,0.89215463,0.9924938692,0,0
102496,6984,0,0,0,0.0335995,0,0,0,0.9131469,0.9823684547,0.89023868,0.9840673155,0,0
100300,6985,0,0,0,0.0500006,0,0,0,0.9082179,0.963444851,0.89173458,0.9712551747,0,0
93659,6986,0,0,0,0.0483141,0,0,0,0.91749665,0.9841922243,0.90249739,0.9888229736,0,0
92896,6987,0,0,0,0.0779764,0,4,0,0.90536804,0.9694106513,0.87714796,0.9733353131,0,0
87804,6988,0,0,0,0.120216,0,8,0,0.90894607,0.9781892042,0.89089584,0.9828353328,0,0
120902,6989,0,0,0,0.0447787,0,0,0,0.91151061,0.9867231699,0.88765514,0.9908866462,0,0
82458,6990,0,0,0,0.0486095,0,3,0,0.89677834,0.9622804033,0.87129484,0.9684591579,0,0
81222,6991,0,0,0,0.0220918,0,0,0,0.90986471,0.9823737718,0.88506024,0.9878161886,0,0
91364,6997,0,0,0,0.0422432,0,0,0,0.90496983,0.9893498235,0.87536023,0.9918814475,0,0
108315,6999,1,1,0,0.316498,1,53,1,0.91543484,0.9811614701,0.89127525,0.986013678,0,0
